City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
633,Wanning,CN,81.95,overcast clouds,18.8003,110.3967,Paradise Hotel
634,Miri,MY,78.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
637,Corinto,GR,79.75,clear sky,37.9407,22.9573,Ephira Hotel
638,Boundiali,CI,80.65,light rain,9.5217,-6.4869,Hotel Paysan Boundiali
639,Lasa,IT,72.48,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
649,Bontang,ID,82.44,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
654,Mantua,IT,76.15,scattered clouds,45.1667,10.7833,Hotel la Favorita
660,Half+Moon+Bay,US,70.12,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
661,Damghan,IR,80.82,clear sky,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
662,Marsabit,KE,71.35,scattered clouds,2.3284,37.9899,Chicho Hotel
667,Annau,TM,89.1,broken clouds,37.8876,58.516000000000005,Buzmein Sokak
671,Padang,ID,77.54,overcast clouds,-0.9492,100.3543,Mercure Padang
672,Sabang,ID,81.86,overcast clouds,5.8933,95.3214,Hotel Citra
673,Tres+Coracoes,BR,81.05,scattered clouds,-21.6969,-45.2533,Hotel Capri
680,Kiunga,PG,73.0,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
682,Asgabat,TM,89.46,broken clouds,37.95,58.3833,Oguzkent Hotel
683,Jeremie,HT,82.53,few clouds,18.65,-74.1167,Auberge’Inn
686,Jiuquan,CN,74.64,broken clouds,39.7432,98.5174,Jiuquan Hotel
688,Grammichele,IT,72.1,scattered clouds,37.2123,14.6397,Valle Verde Di Paolo E Maria Teresa Filia Snc
692,Bani,DO,87.24,clear sky,18.2833,-70.3333,Hospedaje Henriquez
693,Unai,BR,89.58,broken clouds,-16.3575,-46.9061,Hotel Regente
694,Tual,ID,81.32,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
698,Itarema,BR,86.45,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
702,Moerai,PF,78.01,overcast clouds,-22.4333,-151.3333,Le Manotel
710,Lazaro+Cardenas,MX,87.46,broken clouds,17.9583,-102.2,Hotel Quinta Antigua
715,Port+Moresby,PG,74.62,scattered clouds,-9.4431,147.1797,Lamana Hotel
717,Houma,US,89.01,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
